2017-08-08 00:00:00, 2017-08-12 00:00:00, nan, nan, nan, nan, nan, nan
2017-08-13 00:00:00, 2017-08-17 00:00:00, nan, nan, nan, nan, nan, nan
2017-08-18 00:00:00, 2017-08-22 00:00:00, nan, nan, nan, nan, nan, nan
2017-08-23 00:00:00, 2017-08-27 00:00:00, nan, nan, nan, nan, nan, nan
2017-08-28 00:00:00, 2017-09-01 00:00:00, nan, nan, nan, nan, nan, nan
2017-09-02 00:00:00, 2017-09-06 00:00:00, nan, nan, nan, nan, nan, nan
2017-09-07 00:00:00, 2017-09-11 00:00:00, nan, nan, nan, nan, nan, nan
2017-09-12 00:00:00, 2017-09-16 00:00:00, nan, nan, nan, nan, nan, nan
2017-09-17 00:00:00, 2017-09-21 00:00:00, nan, nan, nan, nan, nan, nan
2017-09-22 00:00:00, 2017-09-26 00:00:00, nan, nan, nan, nan, nan, nan
2017-09-27 00:00:00, 2017-10-01 00:00:00, nan, nan, nan, nan, nan, nan
2017-10-02 00:00:00, 2017-10-06 00:00:00, nan, nan, nan, nan, nan, nan
2017-10-07 00:00:00, 2017-10-11 00:00:00, nan, nan, nan, nan, nan, nan
2017-10-12 00:00:00, 2017-10-16 00:00:00, nan, nan, nan, nan, nan, nan
2017-10-17 00:00:00, 2017-10-21 00:00:00, nan, nan, nan, nan, nan, nan
2017-10-22 00:00:00, 2017-10-26 00:00:00, nan, nan, nan, nan, nan, nan
2017-10-27 00:00:00, 2017-10-31 00:00:00, nan, nan, nan, nan, nan, nan
2017-11-01 00:00:00, 2017-11-05 00:00:00, nan, nan, nan, nan, nan, nan
2017-11-06 00:00:00, 2017-11-10 00:00:00, nan, nan, nan, nan, nan, nan
2017-11-11 00:00:00, 2017-11-15 00:00:00, nan, nan, nan, nan, nan, nan
2017-11-16 00:00:00, 2017-11-20 00:00:00, nan, nan, nan, nan, nan, nan
2017-11-21 00:00:00, 2017-11-25 00:00:00, nan, nan, nan, nan, nan, nan
2017-11-26 00:00:00, 2017-11-30 00:00:00, nan, nan, nan, nan, nan, nan
2017-12-01 00:00:00, 2017-12-05 00:00:00, nan, nan, nan, nan, nan, nan
2017-12-06 00:00:00, 2017-12-10 00:00:00, nan, nan, nan, nan, nan, nan
2017-12-11 00:00:00, 2017-12-15 00:00:00, nan, nan, nan, nan, nan, nan
2017-12-16 00:00:00, 2017-12-20 00:00:00, nan, nan, nan, nan, nan, nan
2017-12-21 00:00:00, 2017-12-25 00:00:00, nan, nan, nan, nan, nan, nan
2017-12-26 00:00:00, 2017-12-30 00:00:00, nan, nan, nan, nan, nan, nan
2017-12-31 00:00:00, 2018-01-04 00:00:00, nan, nan, nan, nan, nan, nan
2018-01-05 00:00:00, 2018-01-09 00:00:00, nan, nan, nan, nan, nan, nan
2018-01-10 00:00:00, 2018-01-14 00:00:00, nan, nan, nan, nan, nan, nan
2018-01-15 00:00:00, 2018-01-19 00:00:00, nan, nan, nan, nan, nan, nan
2018-06-09 00:00:00, 2018-06-13 00:00:00, nan, nan, nan, nan, nan, nan
2018-06-14 00:00:00, 2018-06-18 00:00:00, nan, nan, nan, nan, nan, nan
2018-06-19 00:00:00, 2018-06-23 00:00:00, nan, nan, nan, nan, nan, nan
2018-06-24 00:00:00, 2018-06-28 00:00:00, nan, nan, nan, nan, nan, nan
2018-06-29 00:00:00, 2018-07-03 00:00:00, nan, nan, nan, nan, nan, nan
2018-07-04 00:00:00, 2018-07-08 00:00:00, nan, nan, nan, nan, nan, nan
2018-07-09 00:00:00, 2018-07-13 00:00:00, nan, nan, nan, nan, nan, nan
2018-07-14 00:00:00, 2018-07-18 00:00:00, nan, nan, nan, nan, nan, nan
2018-07-19 00:00:00, 2018-07-23 00:00:00, nan, nan, nan, nan, nan, nan
2018-07-24 00:00:00, 2018-07-28 00:00:00, nan, nan, nan, nan, nan, nan
2018-07-29 00:00:00, 2018-08-02 00:00:00, nan, nan, nan, nan, nan, nan
2018-08-03 00:00:00, 2018-08-07 00:00:00, nan, nan, nan, nan, nan, nan
2018-08-08 00:00:00, 2018-08-12 00:00:00, nan, nan, nan, nan, nan, nan
2018-08-13 00:00:00, 2018-08-17 00:00:00, nan, nan, nan, nan, nan, nan
2018-08-18 00:00:00, 2018-08-22 00:00:00, nan, nan, nan, nan, nan, nan
2018-08-23 00:00:00, 2018-08-27 00:00:00, nan, nan, nan, nan, nan, nan
2018-08-28 00:00:00, 2018-09-01 00:00:00, nan, nan, nan, nan, nan, nan
2018-09-02 00:00:00, 2018-09-06 00:00:00, nan, nan, nan, nan, nan, nan
2018-09-07 00:00:00, 2018-09-11 00:00:00, nan, nan, nan, nan, nan, nan
2018-09-12 00:00:00, 2018-09-16 00:00:00, nan, nan, nan, nan, nan, nan
2018-09-17 00:00:00, 2018-09-21 00:00:00, nan, nan, nan, nan, nan, nan
2018-09-22 00:00:00, 2018-09-26 00:00:00, nan, nan, nan, nan, nan, nan
2018-09-27 00:00:00, 2018-10-01 00:00:00, nan, nan, nan, nan, nan, nan
2018-10-02 00:00:00, 2018-10-06 00:00:00, nan, nan, nan, nan, nan, nan
2018-10-07 00:00:00, 2018-10-11 00:00:00, nan, nan, nan, nan, nan, nan
2018-10-12 00:00:00, 2018-10-16 00:00:00, nan, nan, nan, nan, nan, nan
2018-10-17 00:00:00, 2018-10-21 00:00:00, nan, nan, nan, nan, nan, nan
2018-10-22 00:00:00, 2018-10-26 00:00:00, nan, nan, nan, nan, nan, nan
2018-10-27 00:00:00, 2018-10-31 00:00:00, nan, nan, nan, nan, nan, nan
2018-11-01 00:00:00, 2018-11-05 00:00:00, nan, nan, nan, nan, nan, nan
2018-11-06 00:00:00, 2018-11-10 00:00:00, nan, nan, nan, nan, nan, nan
2018-11-11 00:00:00, 2018-11-15 00:00:00, nan, nan, nan, nan, nan, nan
2018-11-16 00:00:00, 2018-11-20 00:00:00, nan, nan, nan, nan, nan, nan
2018-11-21 00:00:00, 2018-11-25 00:00:00, nan, nan, nan, nan, nan, nan
2018-11-26 00:00:00, 2018-11-30 00:00:00, nan, nan, nan, nan, nan, nan
2018-12-01 00:00:00, 2018-12-05 00:00:00, nan, nan, nan, nan, nan, nan
2018-12-06 00:00:00, 2018-12-10 00:00:00, nan, nan, nan, nan, nan, nan
2018-12-11 00:00:00, 2018-12-15 00:00:00, nan, nan, nan, nan, nan, nan
2018-12-16 00:00:00, 2018-12-20 00:00:00, nan, nan, nan, nan, nan, nan
